algoritmo,config,amostras,accuracy,precision,recall,f1
KNN,K=1,10,0.7875,0.6859265734265735,0.58125,0.6125646997929606
KNN,K=3,10,0.775,0.6946338383838384,0.56875,0.6043703007518797
KNN,K=5,10,0.825,0.6977006911217437,0.6125,0.6397749567254212
KNN,K=7,10,0.8125,0.6827004265084761,0.6125,0.635106658364331
WKNN,K=1,10,0.7875,0.6859265734265735,0.58125,0.6125646997929606
WKNN,K=3,10,0.775,0.6917000891265597,0.56875,0.6018039955539956
WKNN,K=5,10,0.825,0.6977006911217437,0.6125,0.6397749567254212
WKNN,K=7,10,0.8,0.6827004265084761,0.6,0.6259154818937428
SVM,"linear,C=1,gamma=scale",10,0.8125,0.6830357142857143,0.60625,0.630718954248366
SVM,"linear,C=10,gamma=scale",10,0.8125,0.6949275362318841,0.6,0.6312443370582905
SVM,"rbf,C=1,gamma=scale",10,0.8125,0.6825509049773756,0.60625,0.6322449367526094
SVM,"rbf,C=10,gamma=scale",10,0.8125,0.6779761904761905,0.6125,0.6323291715060008
KNN,K=1,30,0.8041666666666667,0.6797430736464442,0.5895833333333333,0.6214790066283027
KNN,K=3,30,0.7958333333333333,0.6888730067578814,0.5770833333333334,0.6153773301554082
KNN,K=5,30,0.8416666666666667,0.7036964763603926,0.6145833333333334,0.6474260609951177
KNN,K=7,30,0.8333333333333334,0.6900169457735248,0.6145833333333333,0.6430848497380756
WKNN,K=1,30,0.8041666666666667,0.6797430736464442,0.5895833333333333,0.6214790066283027
WKNN,K=3,30,0.8,0.6893413024275339,0.5791666666666666,0.616574951009867
WKNN,K=5,30,0.8291666666666667,0.6947784331518452,0.60625,0.639047829215661
WKNN,K=7,30,0.825,0.689746383002962,0.60625,0.6368380588777052
SVM,"linear,C=1,gamma=scale",30,0.8416666666666667,0.6971801856335754,0.6145833333333334,0.6444287379718523
SVM,"linear,C=10,gamma=scale",30,0.825,0.6978048163709929,0.6041666666666667,0.6383280960456041
SVM,"rbf,C=1,gamma=scale",30,0.8416666666666667,0.7013036375311626,0.6145833333333334,0.6472355807812471
SVM,"rbf,C=10,gamma=scale",30,0.8166666666666667,0.686120520924729,0.6020833333333333,0.6323692604660953
KNN,K=1,50,0.7925,0.6672616406448533,0.58375,0.6153252367108399
KNN,K=3,50,0.7875,0.6768559506531204,0.57375,0.6101353925576363
KNN,K=5,50,0.8325,0.6984506353861193,0.60875,0.6421256606784868
KNN,K=7,50,0.83,0.6939012102385963,0.61,0.6411716183741513
WKNN,K=1,50,0.7925,0.6672616406448533,0.58375,0.6153252367108399
WKNN,K=3,50,0.79,0.67436436482662,0.5762499999999999,0.611840632256362
WKNN,K=5,50,0.825,0.6913837579050122,0.60375,0.6360837282234
WKNN,K=7,50,0.82,0.6915549196805469,0.6,0.6325926919962369
SVM,"linear,C=1,gamma=scale",50,0.835,0.6931233807563595,0.6100000000000001,0.6405454622242778
SVM,"linear,C=10,gamma=scale",50,0.8275,0.694323580539681,0.60375,0.6381776098017629
SVM,"rbf,C=1,gamma=scale",50,0.8375,0.70202463966433,0.6124999999999999,0.6459766651057209
SVM,"rbf,C=10,gamma=scale",50,0.8275,0.6905925805896685,0.60875,0.6393834020691211
